Date,Open,High,Low,Close,Adj Close,Volume
10/1/04,65.465462,100.075073,64.514519,95.415413,95.415413,513621664
1/1/05,98.798798,102.752754,88.233231,97.907906,97.907906,409919472
4/1/05,90.97097,112.482483,90.01001,110.110107,110.110107,452928818
7/1/05,147.667664,159.059052,143.638641,144.024017,144.024017,409488299
10/1/05,156.97197,187.562561,145.485489,186.256256,186.256256,385539075
1/1/06,211.471466,237.792786,197.567566,216.546555,216.546555,597482119
4/1/06,194.959961,225.585587,194.159164,209.179184,209.179184,370258371
7/1/06,210.230225,214.159164,189.034027,193.4935,193.4935,254788757
10/1/06,201.151154,246.226227,199.294296,238.433426,238.433426,316710971
1/1/07,233.233231,256.756744,230.785782,251.001007,251.001007,248925026
4/1/07,229.109116,246.49649,226.286285,235.925919,235.925919,185731082
7/1/07,263.007996,279.56958,249.689697,255.255249,255.255249,233028338
10/1/07,285.270264,353.853851,285.090088,353.853851,353.853851,310591098
1/1/08,346.781769,349.034027,259.759766,282.432434,282.432434,315263222
4/1/08,224.094101,292.722717,220.720718,287.432434,287.432434,285803313
7/1/08,260.050049,278.118103,233.033035,237.112106,237.112106,207963828
10/1/08,205.780777,208.6987,154.874878,179.859863,179.859863,398192607
1/1/09,154.454453,176.341339,141.51651,169.434433,169.434433,219543636
4/1/09,172.062057,202.077072,170.475479,198.183182,198.183182,175490135
7/1/09,212.312317,226.576584,198.188187,221.74675,221.74675,145888367
10/1/09,246.74675,281.101105,241.541534,268.328339,268.328339,154194651
1/1/10,313.788788,315.070068,263.068054,265.235229,265.235229,178022800
4/1/10,285.960968,299.219208,260.775787,263.113098,263.113098,145975878
7/1/10,222.867874,248.998993,217.032028,242.667664,242.667664,138481381
10/1/10,265.265259,312.682678,259.684692,307.157166,307.157166,158537103
1/1/11,298.538544,321.801788,298.073059,300.480469,300.480469,119848832
4/1/11,294.674683,297.892883,259.759766,272.322327,272.322327,140342916
7/1/11,253.623627,314.064056,253.443436,302.147156,302.147156,161948890
10/1/11,255.180176,301.651642,240.540543,296.616608,296.616608,154276567
1/1/12,326.796783,335.460449,282.557556,290.345337,290.345337,147137914
4/1/12,320.705719,326.896912,295.395386,302.727722,302.727722,117637645
7/1/12,291.201202,321.621613,281.326324,316.801788,316.801788,102470629
10/1/12,379.904907,387.577576,335.185181,340.490479,340.490479,143454004
1/1/13,360.070068,380.855865,348.108093,378.223236,378.223236,104705592
4/1/13,397.902893,414.234222,381.011017,412.697693,412.697693,106997297
7/1/13,443.668671,464.464478,438.243256,444.319305,444.319305,102388510
10/1/13,440.565552,521.281311,421.911926,515.805786,515.805786,110338551
1/1/14,558.288269,593.863892,541.676697,591.07605,591.07605,108914376
4/1/14,560.695679,588.299988,511,534.880005,534.880005,71064266
7/1/14,587.650024,608.909973,572.099976,579.549988,579.549988,38583300
10/1/14,586.799988,592.400024,518.409973,567.869995,567.869995,55481600
1/1/15,532.599976,545.409973,490.910004,537.549988,537.549988,52846300
4/1/15,554.830017,584.700012,529,548.77002,548.77002,43745000
7/1/15,543.659973,713.330017,539.76001,657.5,657.5,68542900
10/1/15,637.940002,752.5,631.119995,737.390015,737.390015,50264300
1/1/16,762.200012,769.200012,687.780029,761.349976,761.349976,51999200
4/1/16,757.159973,790.950012,703.200012,707.880005,707.880005,46661400
7/1/16,705.099976,803.940002,699,791.340027,791.340027,32662200
10/1/16,802.549988,839,796.22998,809.900024,809.900024,35391000
1/1/17,800.619995,867,796.890015,820.190002,820.190002,36832700
4/1/17,848.75,935.900024,834.599976,924.52002,924.52002,28721600
7/1/17,933.219971,1006.190002,915.309998,945.5,945.5,41908600
10/1/17,975.650024,1063.619995,961.950012,1033.040039,1033.040039,36853800
1/1/18,1053.02002,1198,1053.02002,1182.219971,1182.219971,32887400
4/1/18,1027.619995,1097.51001,994.25,1018.580017,1018.580017,49246400
7/1/18,1115.349976,1291.439941,1106.599976,1227.219971,1227.219971,41782700
10/1/18,1213,1224.52002,1007.200012,1090.579956,1090.579956,56547100
1/1/19,1027.199951,1127.670044,1022.369995,1125.890015,1125.890015,34858400
4/1/19,1187.540039,1296.969971,1183,1198.959961,1198.959961,32372300
7/1/19,1101.040039,1268.390015,1095.329956,1218.199951,1218.199951,35755200
10/1/19,1222.48999,1299.23999,1163.140015,1258.800049,1258.800049,30181700
1/1/20,1348.410034,1500.579956,1346.48999,1432.780029,1432.780029,33679700
4/1/20,1124,1360.150024,1075.079956,1346.699951,1346.699951,56211200
7/1/20,1419.170044,1587.050049,1414.180054,1487.949951,1487.949951,41149900
10/1/20,1483.660034,1681.319946,1433.22998,1616.109985,1616.109985,42746000
12/31/20,1737.27002,1757.5,1736.089966,1752.640015,1752.640015,1053500
